s,-0.1,-0.1,0.7,
j,1.25192,-0.409941,0.369407,2.00095,
j,1.25331,-0.409791,0.368668,2.00186,
j,1.2547,-0.409663,0.367842,2.0027,
j,1.25608,-0.409553,0.367,2.00346,
j,1.25746,-0.409458,0.36617,2.00414,
j,1.25883,-0.409376,0.365367,2.00475,
j,1.2602,-0.409304,0.364595,2.00529,
j,1.26156,-0.40924,0.363853,2.00578,
j,1.26293,-0.409183,0.363142,2.00621,
j,1.26428,-0.409137,0.362351,2.00662,
j,1.26564,-0.409096,0.36157,2.00686,
j,1.26698,-0.409052,0.360838,2.00665,
j,1.26833,-0.409009,0.360106,2.00595,
j,1.26967,-0.408973,0.359377,2.00495,
j,1.27101,-0.408944,0.358634,2.00361,
j,1.27234,-0.408925,0.35788,2.002,
j,1.27368,-0.408916,0.35712,2.00023,
j,1.27501,-0.408917,0.356349,1.99825,
j,1.27633,-0.408933,0.355458,1.99608,
j,1.27765,-0.40897,0.354461,1.99388,
j,1.27896,-0.40902,0.353414,1.99151,
j,1.28026,-0.409078,0.352326,1.98876,
j,1.28155,-0.409143,0.351188,1.98542,
j,1.28283,-0.409217,0.350002,1.98145,
j,1.2841,-0.409301,0.348781,1.97697,
j,1.28537,-0.409397,0.347533,1.97204,
j,1.28663,-0.409504,0.346278,1.96686,
j,1.28789,-0.409617,0.345008,1.96136,
j,1.28914,-0.409735,0.343729,1.95562,
j,1.29039,-0.409856,0.342464,1.94984,
j,1.29163,-0.409979,0.341237,1.94428,
j,1.29287,-0.410107,0.339962,1.93914,
j,1.2941,-0.410238,0.338645,1.93449,
j,1.29532,-0.410361,0.337356,1.93033,
j,1.29654,-0.41047,0.336126,1.92663,
j,1.29775,-0.410558,0.334966,1.92336,
j,1.29896,-0.41062,0.333879,1.92046,
j,1.30017,-0.410654,0.332864,1.91791,
j,1.30138,-0.410657,0.331915,1.91565,
j,1.30259,-0.41063,0.331029,1.91367,
j,1.3038,-0.410574,0.330201,1.91192,
j,1.30501,-0.410491,0.329438,1.9105,
j,1.30622,-0.410385,0.328739,1.90941,
j,1.30743,-0.410254,0.328089,1.90854,
j,1.30865,-0.410103,0.327495,1.90794,
j,1.30986,-0.409934,0.326949,1.9076,
j,1.31108,-0.40975,0.326454,1.90752,
j,1.31229,-0.409566,0.325908,1.90781,
j,1.3135,-0.409384,0.325299,1.90835,
j,1.31471,-0.409202,0.32469,1.90912,
j,1.31592,-0.409021,0.324107,1.91005,
j,1.31712,-0.408838,0.323551,1.911,
j,1.31833,-0.408645,0.323125,1.91189,
j,1.31953,-0.408432,0.322934,1.91268,
j,1.32075,-0.408201,0.322907,1.91337,
j,1.32197,-0.407951,0.323042,1.91395,
j,1.32321,-0.407674,0.3234,1.91442,
j,1.32445,-0.407365,0.323998,1.91477,
j,1.32571,-0.407029,0.324726,1.91504,
j,1.32698,-0.406677,0.325465,1.91524,
j,1.32826,-0.406316,0.326162,1.91541,
j,1.32953,-0.405951,0.326794,1.91554,
j,1.33081,-0.405589,0.327354,1.91564,
j,1.33208,-0.405232,0.327843,1.91573,
j,1.33336,-0.404883,0.328263,1.91579,
j,1.33463,-0.404547,0.328619,1.91585,
j,1.33589,-0.404225,0.328915,1.9159,
j,1.33715,-0.403918,0.329157,1.91593,
j,1.33841,-0.403628,0.329347,1.91597,
j,1.33967,-0.403356,0.329492,1.91599,
j,1.34092,-0.403101,0.329593,1.91602,
j,1.34217,-0.402865,0.329656,1.91604,
j,1.34341,-0.402657,0.329594,1.91621,
j,1.34465,-0.402481,0.32941,1.91654,
j,1.34587,-0.402329,0.329166,1.91694,
j,1.34709,-0.402196,0.328889,1.91734,
j,1.3483,-0.402089,0.328491,1.91775,
j,1.34951,-0.402011,0.327989,1.91829,
j,1.35071,-0.401956,0.327456,1.91894,
j,1.35189,-0.401926,0.326815,1.91964,
j,1.35307,-0.401922,0.326086,1.92048,
j,1.35424,-0.401944,0.32524,1.92143,
j,1.3554,-0.40199,0.324302,1.92242,
j,1.35655,-0.40206,0.323244,1.92338,
j,1.35769,-0.402154,0.322115,1.92443,
j,1.35882,-0.402273,0.320893,1.92558,
j,1.35994,-0.402413,0.319618,1.92685,
j,1.36105,-0.402585,0.318163,1.92825,
j,1.36214,-0.402796,0.316446,1.92969,
j,1.36321,-0.403046,0.314506,1.93109,
j,1.36426,-0.403336,0.312371,1.93245,
j,1.36529,-0.403656,0.310167,1.93372,
j,1.36631,-0.404005,0.307924,1.93505,
j,1.36732,-0.404375,0.305694,1.93643,
j,1.36832,-0.40475,0.303557,1.93777,
j,1.36931,-0.405131,0.301439,1.93904,
j,1.37029,-0.405512,0.299348,1.94023,
j,1.37127,-0.405885,0.297349,1.94132,
j,1.37225,-0.40624,0.295469,1.9423,
j,1.37322,-0.406572,0.293714,1.94319,
j,1.3742,-0.406878,0.292082,1.94398,
j,1.37517,-0.407152,0.290567,1.94469,
j,1.37615,-0.407395,0.28916,1.94532,
j,1.37713,-0.407593,0.287958,1.94586,
j,1.37812,-0.407731,0.287049,1.94617,
j,1.37912,-0.407798,0.286451,1.94611,
